Fill,Boston,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier Bay,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Haleakalā,Hawaiʻi Volcanoes,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,National Park of American Samoa,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Virgin Islands,Voyageurs,White Sands National Park,Wind Cave,Wrangell–St. Elias,Yellowstone,Yosemite,Zion
Boston,0.0;0.0,285.27;4.98,2322.77;34.72,1853.76;27.87,2334.6;35.33,1522.87;23.39,2241.52;34.28,2524.96;38.38,2459.47;40.4,2411.63;36.41,2226.15;33.62,3083.34;45.83,926.21;15.08,3062.77;46.12,650.94;10.34,2880.83;43.19,4556.12;73.67,1651.09;26.14,1562.67;24.06,4736.95;78.67,1177.71;18.07,3920.42;64.13,2494.31;37.62,2626.29;38.95,2345.97;35.46,2583.57;39.06,2109.78;31.86,934.57;14.95,2255.55;33.97,N/A;N/A,N/A;N/A,1505.05;22.99,940.48;14.76,1258.49;19.95,2866.49;42.94,4770.4;78.07,4673.98;76.12,3166.79;47.77,4689.05;77.64,4558.23;74.27,3035.02;45.21,1057.2;16.37,2291.8;35.24,3079.85;46.46,N/A;N/A,3016.71;45.56,3178.73;47.78,2424.46;35.88,3169.97;47.49,3249.01;49.04,1998.1;30.21,2619.98;39.18,3106.54;47.07,533.16;9.18,1958.97;29.57,N/A;N/A,1591.14;24.61,2295.17;34.41,1945.9;29.18,4297.1;69.49,2331.86;35.23,2935.3;44.17,2603.43;38.95
Acadia,283.26;4.9,0;0,2519.32;38.57,1955.86;31.82,2608.95;39.95,1811.03;28.08,2437.39;38.14,2721.46;42.21,2656.2;44.22,2608.36;40.24,2501.23;38.19,3279.37;49.59,1223.92;19.77,3252.63;49.97,930.5;14.83,3056.84;46.23,4498.02;77.34,1938.65;30.79,1850.44;28.77,4675.99;82.34,1454.95;22.63,3862.09;67.72,2479.11;41.38,2904.14;43.62,2541.84;39.31,2793.16;42.93,2386.72;36.51,1212.84;19.57,2532.53;38.62,N/A;N/A,N/A;N/A,1784.39;27.6,1219.28;19.22,1260.43;22.34,3144.57;47.6,4711.69;81.77,4617.35;79.45,3362.49;51.59,4628.09;81.31,4500.07;77.98,3227.07;49.13,1338.1;20.96,2582.63;40.22,3041.14;49.49,N/A;N/A,3001.56;49.25,3164.05;51.51,2702.41;40.56,3365.04;51.31,3439.49;52.94,2275.99;34.75,2898.52;43.73,3302.52;50.88,810.17;13.73,2237.82;34.18,N/A;N/A,1507.99;26.44,2573.12;38.99,2047.77;33.12,4238.97;73.2,2430.95;39.12,3127.63;48.07,2800.05;42.78
Arches,2321.65;34.73,2526.17;38.43,0;0,747.46;11.61,929.85;15.5,2450.9;35.63,193.27;3.42,272.15;5.01,206.89;7.02,159.04;3.04,677.72;10.95,830.06;12.39,1978.17;29.07,929.16;14.76,1692.78;24.78,607.52;9.03,3199.6;53.05,2578.52;38.34,2490.31;36.32,3377.57;58.04,1205.32;17.57,2563.67;43.42,908.71;13.68,340.69;5.97,505.21;8.86,343.85;5.73,349.28;6.37,1732.65;25.56,709.02;11.38,N/A;N/A,N/A;N/A,1222.79;19.26,1391.65;20.32,1670.16;25.06,688.11;11.06,3413.27;57.47,3318.47;55.14,913.17;14.39,3329.67;57.01,3201.65;53.69,903.6;13.92,1496.24;22.19,136.57;2.5,1013.85;15.82,N/A;N/A,1132.5;17.97,1199.61;18.81,305.31;5.21,915.72;14.11,1116.02;17.73,384.5;6.39,612.57;9.72,853.2;13.68,1994.88;29.6,923.92;14.59,N/A;N/A,1540.17;22.47,599.71;9.62,695.02;10.62,2940.55;48.9,635.23;10.49,714.07;11.62,350.73;5.58
Badlands,1854.04;27.86,1953.58;31.73,747.05;11.68,0;0,1168.46;18.77,2160.67;31.33,665.12;11.25,949.19;15.32,883.93;17.33,836.09;13.35,953.56;14.98,1466.5;22.04,1687.95;24.78,1395.99;21.56,1223.77;17.9,1243.97;18.68,2974.08;50.28,2288.3;34.05,2200.09;32.02,3152.05;55.28,915.1;13.28,2338.15;40.66,728.2;11.58,1071.61;17.13,561.23;8.95,923.03;14.59,628.7;9.78,1442.43;21.26,984.86;15.41,N/A;N/A,N/A;N/A,1088.89;16.32,928.52;13.48,944.64;14.81,1361.09;20.7,3187.75;54.71,3094.52;52.45,1549.62;24.04,3104.16;54.25,2976.14;50.92,1370.43;20.73,1206.02;17.9,781.19;13.05,1193.51;18.51,N/A;N/A,1153.93;18.28,1316.42;20.54,998.84;15.25,1529.24;23.02,1582.85;24.54,399.76;6.61,1233.54;18.65,1489.65;23.33,1570.74;23.91,295.09;5.07,N/A;N/A,729.96;11.84,908.69;14.31,100.15;1.73,2715.03;46.14,487.82;7.88,1270.98;19.66,987.18;15.23
Big Bend,2340.15;35.65,2610.91;39.84,972.63;15.49,1170.77;18.77,0;0,1818.8;27.22,875.87;15.26,1136.44;18.32,1023.5;19.94,1068.57;17.63,283.31;5.12,1240.29;18.91,1583.24;23.66,1812.36;28.49,1701.15;25.26,1187.92;18.44,4050.6;66.27,1946.43;29.93,1858.22;27.91,4228.57;71.26,1157.36;17.33,3414.66;56.64,1776.57;27.21,891.05;14.66,1358.53;21.66,1233.57;20.54,719.25;12.25,1459.08;22.09,274.56;4.73,N/A;N/A,N/A;N/A,866.81;13.24,1474.14;22.05,1849.53;28.1,993.26;15.24,4264.26;70.69,4170.56;68.4,1409.17;22.26,4180.67;70.23,4052.65;66.91,1652.62;25.86,1326.83;19.85,856.61;13.42,1995.04;31.5,N/A;N/A,2089.02;32.94,2156.14;33.78,781.97;12.05,1401.17;21.71,1821.42;28.13,924.31;14.94,639.98;9.95,1349.2;21.55,1818.85;27.36,1467.59;23.22,N/A;N/A,1719.54;25.51,425.32;6.88,1126.26;18.28,3791.54;62.12,1401.73;21.85,1422.17;22.24,1059.07;17.88
Biscayne,1531.5;23.51,1799.11;27.92,2452.64;35.78,2162.44;31.47,1818.62;27.24,0;0,2215.66;34.03,2551.44;38.67,2414.56;40.13,2541.68;37.45,1826.34;27.2,2873.63;41.67,646.07;9.65,3259.19;48.4,1250.7;18.54,2692.16;39.93,4988.45;79.15,137.86;3.16,49.65;1.14,5166.42;84.14,1247.67;18.17,4352.51;69.52,2877.91;42.47,2398.7;35.44,2548.39;37.75,2726.49;40.13,2048.79;30.63,882.34;13.56,1907.91;27.51,N/A;N/A,N/A;N/A,1272.32;18.51,1397.47;20.47,1882.83;28.37,2626.6;37.99,5202.11;83.57,5107.56;81.23,2960.22;44.49,5118.52;83.11,4990.5;79.78,3156.86;47.35,1034.06;15.12,2246.21;33.59,3302.17;48.83,N/A;N/A,3303.64;49.17,3466.13;51.43,2196.97;32.39,2962.77;44.21,3383.02;50.63,2156.54;31.44,2273.32;32.71,2900.25;43.78,1073.09;16.11,2394.07;34.82,N/A;N/A,2025.9;29.76,1943.71;29.29,2174.68;32.54,4729.39;75.0,2524.93;37.77,2938.45;43.87,2517.11;38.33
Black Canyon of the Gunnison,2239.72;34.29,2444.93;38.0,193.83;3.44,666.22;11.18,876.24;15.3,2218.47;33.92,0;0,395.97;7.08,330.72;9.09,282.87;5.11,624.12;10.75,953.88;14.46,1828.82;28.15,1052.99;16.83,1611.54;24.34,731.35;11.1,3323.43;55.12,2346.1;36.63,2257.89;34.61,3501.4;60.11,1055.97;16.65,2687.49;45.49,1032.53;15.75,423.25;7.71,530.12;9.49,467.67;7.8,221.55;4.05,1583.3;24.63,655.42;11.18,N/A;N/A,N/A;N/A,1047.27;17.46,1310.4;19.89,1588.92;24.63,770.67;12.8,3537.09;59.55,3441.94;57.2,1037.0;16.46,3453.5;59.08,3325.48;55.76,1027.43;15.99,1346.89;21.27,159.9;3.22,1137.68;17.89,N/A;N/A,1256.32;20.04,1323.44;20.88,356.95;6.38,1039.55;16.18,1239.85;19.8,312.57;6.12,695.12;11.46,977.03;15.75,1845.52;28.68,881.03;14.33,N/A;N/A,1458.93;22.03,562.32;9.73,613.77;10.18,3064.38;50.97,653.12;10.88,837.9;13.69,474.56;7.65
Bryce Canyon,2523.79;38.37,2728.37;42.1,271.99;5.03,964.72;14.96,1136.66;18.4,2554.54;38.54,395.46;7.08,0;0,250.49;8.69,128.14;3.27,865.52;13.98,649.33;10.24,2180.37;32.74,879.97;14.79,1894.98;28.44,426.8;6.88,3251.11;53.85,2682.17;41.26,2593.96;39.24,3429.08;58.85,1407.52;21.24,2615.18;44.22,960.22;14.48,308.36;5.75,556.72;9.67,220.8;4.29,594.44;10.39,1934.85;29.22,896.82;14.42,N/A;N/A,N/A;N/A,1410.6;22.29,1593.85;23.99,1872.36;28.73,543.92;8.9,3464.78;58.28,3369.81;55.94,732.45;12.24,3381.18;57.82,3253.17;54.49,740.1;12.63,1698.44;25.86,395.63;6.83,1065.37;16.62,N/A;N/A,1184.01;18.78,1251.12;19.62,406.32;6.89,735.0;11.95,952.52;16.44,586.69;10.05,580.23;9.5,672.48;11.53,2197.08;33.27,1129.37;17.34,N/A;N/A,1636.9;25.3,764.85;12.49,878.07;13.6,2992.06;49.71,686.74;11.29,560.34;9.63,133.79;3.34
Canyonlands,2458.53;40.38,2662.88;44.12,206.5;7.05,884.17;17.3,1023.0;19.97,2418.22;39.95,329.98;9.1,250.49;8.71,0;0,142.43;6.5,729.19;15.39,835.34;16.84,2050.02;34.24,1018.33;19.8,1829.49;30.46,612.81;13.48,3288.77;58.09,2545.84;42.66,2457.63;40.64,3466.74;63.08,1342.03;23.26,2652.84;48.46,997.87;18.72,329.5;9.65,594.38;13.91,388.95;10.51,430.97;11.33,1869.36;31.24,760.5;15.82,N/A;N/A,N/A;N/A,1274.27;23.7,1528.36;26.01,1806.87;30.75,676.92;14.73,3502.44;62.51,3406.62;60.13,918.46;18.84,3418.84;62.05,3290.82;58.73,902.72;18.73,1632.95;27.88,218.26;7.46,1103.02;20.86,N/A;N/A,1221.66;23.01,1288.78;23.85,337.73;9.3,921.0;18.56,1115.14;22.54,521.2;12.08,601.37;13.39,858.49;18.13,2131.59;35.29,1060.63;20.28,N/A;N/A,1676.88;28.15,651.19;14.06,831.73;16.3,3029.72;53.94,724.39;15.53,746.34;16.23,356.02;10.03
Capitol Reef,2410.69;36.4,2615.03;40.13,158.66;3.06,836.33;13.31,1026.39;17.59,2539.76;37.32,282.13;5.11,128.14;3.27,142.43;6.49,0;0,774.27;13.03,712.99;11.41,2067.04;30.77,925.92;15.0,1781.65;26.47,490.46;8.04,3196.35;53.29,2667.39;40.04,2579.17;38.02,3374.32;58.28,1294.18;19.27,2560.42;43.66,905.46;13.92,374.57;7.29,501.96;9.11,266.6;5.08,481.11;8.42,1821.52;27.25,805.57;13.47,N/A;N/A,N/A;N/A,1380.3;21.3,1480.51;22.02,1759.02;26.76,607.57;10.07,3410.02;57.72,3315.16;55.36,796.1;13.4,3326.43;57.25,3198.41;53.93,780.37;13.29,1585.11;23.89,279.1;5.03,1010.61;16.06,N/A;N/A,1129.25;18.21,1196.37;19.05,382.8;6.94,798.65;13.12,992.79;17.1,473.36;8.08,646.45;11.04,736.13;12.69,2083.74;31.3,1012.78;16.29,N/A;N/A,1629.03;24.16,696.26;11.7,783.88;12.31,2937.3;49.14,631.98;10.73,623.99;10.8,233.66;4.6
